"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","predicted","-","0.9",,"MKI67 (FI) SCRIB","true",,"MKI67 (FI) SCRIB"
"FI","catalyzed by; complex; input","<-","1.0",,"DDX46 (FI) DHX9","true",,"DDX46 (FI) DHX9"
"FI","predicted","-","0.96",,"SART3 (FI) SNRNP200","true",,"SART3 (FI) SNRNP200"
"FI","reaction","-","1.0",,"BOP1 (FI) RBM28","true",,"BOP1 (FI) RBM28"
"FI","predicted","-","0.97",,"PLG (FI) SERPINC1","true",,"PLG (FI) SERPINC1"
"FI","complex","-","1.0",,"MRPL22 (FI) MRPL37","true",,"MRPL22 (FI) MRPL37"
"FI","catalyzed by; complex; input","<-","1.0",,"MRPL15 (FI) MRPS18B","true",,"MRPL15 (FI) MRPS18B"
"FI","complex","-","1.0",,"MRPL22 (FI) MRPL38","true",,"MRPL22 (FI) MRPL38"
"FI","complex","-","1.0",,"MRPL22 (FI) MRPL33","true",,"MRPL22 (FI) MRPL33"
"FI","complex; input","-","1.0",,"NUP133 (FI) NUP205","true",,"NUP133 (FI) NUP205"
"FI","complex; input","-","1.0",,"NUP107 (FI) TPR","true",,"NUP107 (FI) TPR"
"FI","PPrel: binding/association; complex; input","-","1.0",,"RANBP2 (FI) RANGAP1","true",,"RANBP2 (FI) RANGAP1"
"FI","catalyze; complex; input","->","1.0",,"NUP43 (FI) RANBP2","true",,"NUP43 (FI) RANBP2"
"FI","complex; input","-","1.0",,"NUP62 (FI) TPR","true",,"NUP62 (FI) TPR"
"FI","catalyze; complex; input","->","1.0",,"NUP54 (FI) RANBP2","true",,"NUP54 (FI) RANBP2"
"FI","complex","-","1.0",,"MRPL33 (FI) MRPL43","true",,"MRPL33 (FI) MRPL43"
"FI","complex","-","1.0",,"MRPL33 (FI) MRPL46","true",,"MRPL33 (FI) MRPL46"
"FI","catalyzed by; complex; input","<-","1.0",,"MRPL22 (FI) PTCD3","true",,"MRPL22 (FI) PTCD3"
"FI","complex","-","1.0",,"MRPL22 (FI) MRPL43","true",,"MRPL22 (FI) MRPL43"
"FI","predicted","-","0.95",,"BOP1 (FI) GTPBP4","true",,"BOP1 (FI) GTPBP4"
"FI","complex","-","1.0",,"MRPL22 (FI) MRPL46","true",,"MRPL22 (FI) MRPL46"
"FI","catalyze; catalyzed by; complex; input","<->","1.0",,"RPL38 (FI) RPS4X","true",,"RPL38 (FI) RPS4X"
"FI","predicted","-","0.94",,"CDC5L (FI) MYBBP1A","true",,"CDC5L (FI) MYBBP1A"
"FI","predicted","-","0.93",,"BZW1 (FI) BZW2","true",,"BZW1 (FI) BZW2"
"FI","activated by; complex; input","<-","1.0",,"NBN (FI) RFC4","true",,"NBN (FI) RFC4"
