shared name
BCL2L12 (FI) SRF
BCL2L12 (FI) ELK4
BCL2L12 (FI) RUVBL2
SLC39A1 (FI) SLC39A2
CSRNP2 (FI) NOBOX
DPM1 (FI) DPM2
DPM1 (FI) DPM3
DPM1 (FI) PIGH
MYO7B (FI) USH1C
ACSL6 (FI) CPT1B
ACSL6 (FI) CPT1C
ACSL6 (FI) CPT1A
ACSL6 (FI) RXRG
ACSL6 (FI) RXRA
ACSL6 (FI) RXRB
ACSL6 (FI) PPARA
ACSL6 (FI) PPARG
LYPLA1 (FI) NRAS
LYPLA1 (FI) NOS3
GUCA2B (FI) GUCY2C
FCRLA (FI) MEF2C
FCRLA (FI) MEF2A
CGNL1 (FI) TJP1
GPR6 (FI) S1PR5
GPR6 (FI) S1PR4
GPR6 (FI) S1PR3
GPR6 (FI) S1PR2
OSBPL3 (FI) VAPA
GLRA3 (FI) NBEA
GLRA3 (FI) GLRB
KCNK10 (FI) KCNK13
KCNK10 (FI) KCNN3
KCNK10 (FI) KCNK4
SLC26A1 (FI) SLC26A5
SLC26A1 (FI) SLC26A3
SLC26A1 (FI) SLC26A2
SLC26A1 (FI) SLC26A9
SLC26A1 (FI) SLC26A7
SLC26A1 (FI) SLC26A6
SLC26A1 (FI) SLC26A11
REXO2 (FI) TP53
TDRD5 (FI) TDRKH
TDRD5 (FI) TDRD9
AWAT2 (FI) RLBP1
ACO1 (FI) GLRX3
BLOC1S2 (FI) SNAPIN
RECK (FI) TIMP2
NNMT (FI) STAT1
NNMT (FI) STAT3
APOF (FI) CETP
SCN4A (FI) SCN8A
CHST8 (FI) LHB
MICAL1 (FI) SRC
ATL1 (FI) SPAST
ATL1 (FI) RTN4
ATL1 (FI) ATL3
ATL1 (FI) REEP5
FAM170A (FI) ZNF423
ZNF710 (FI) ZNF76
NEK11 (FI) NEK2
HNRNPCL1 (FI) SRPK2
NDRG3 (FI) YY1
GCNT1 (FI) MUC1
GCNT1 (FI) MUC2
GCNT1 (FI) MUC4
GCNT1 (FI) MUC6
GCNT1 (FI) MUC7
GCNT1 (FI) MUCL1
GCNT1 (FI) MUC5B
GCNT1 (FI) MUC21
GCNT1 (FI) MUC13
GCNT1 (FI) MUC12
GCNT1 (FI) MUC17
GCNT1 (FI) MUC16
GCNT1 (FI) MUC15
GCNT1 (FI) MUC20
NPDC1 (FI) PILRA
ERH (FI) YY1
ERH (FI) SNRPF
EFEMP1 (FI) SP1
EFEMP1 (FI) VTN
EFEMP1 (FI) MFAP2
EFEMP1 (FI) MFAP5
EFEMP1 (FI) MFAP4
EFEMP1 (FI) MFAP3
GON4L (FI) SBNO1
YIF1A (FI) YIPF4
YIF1A (FI) YIPF5
EPM2AIP1 (FI) FOS
ADAM28 (FI) ITGA4
ADAM28 (FI) ITGB1
ADAM28 (FI) ADAM8
MAP3K15 (FI) MAP3K4
MAP3K15 (FI) MAPK11
MAP3K15 (FI) SBK2
MAP3K15 (FI) NEK10
PRR11 (FI) TPX2
HABP2 (FI) TMPRSS7
CALB2 (FI) TFAP2A
SULT1E1 (FI) SULT2B1
PHLDA1 (FI) RAD21
COQ3 (FI) PDSS2
COQ3 (FI) COQ5
COQ3 (FI) COQ4
COQ3 (FI) COQ9
COQ3 (FI) COQ7
COQ3 (FI) COQ6
PC (FI) WWP2
PC (FI) PINK1
ATL2 (FI) ATL3
PKIA (FI) PRKACG
PKIA (FI) PRKACB
PKIA (FI) PRKACA
DISP1 (FI) SHH
ALAS2 (FI) HIF1A
AMZ2 (FI) CTSO
GAMT (FI) TP53
ARSF (FI) SUMF2
ARSF (FI) SUMF1
ME3 (FI) RXRG
ME3 (FI) RXRA
ME3 (FI) RXRB
ME3 (FI) PPARA
NAT8 (FI) NAT8B
ALG14 (FI) DOLK
ALG14 (FI) ALG5
ALG13 (FI) ALG14
CLEC12A (FI) GAS6
LPP (FI) VASP
ARHGEF10 (FI) RHOA
ARHGEF10 (FI) RHOB
ARHGEF10 (FI) RHOC
ARHGEF10 (FI) ARHGEF10L
GPN1 (FI) POLR2C
GPN1 (FI) GPN3
GPN1 (FI) GPN2
LMAN1L (FI) LMAN2L
SCUBE2 (FI) SHH
HERC1 (FI) HERC2
NCAM2 (FI) PRNP
CLCC1 (FI) GABRE
ERN2 (FI) P4HB
ERN2 (FI) PDIA4
ERN2 (FI) SEC16A
ZNF26 (FI) ZNF397
PLEKHA3 (FI) PLEKHA8
BIN3 (FI) RIN3
WFIKKN1 (FI) WFIKKN2
LRBA (FI) LRRK2
SFXN1 (FI) UBA5
SFXN1 (FI) SFXN3
SFXN1 (FI) SFXN2
STS (FI) SUMF1
STS (FI) SUMF2
GJA5 (FI) GJD2
GJA5 (FI) GJC1
GJA5 (FI) GJB1
GJA5 (FI) GJB2
GJA5 (FI) GJB3
RBM4B (FI) ZCCHC8
ATMIN (FI) CTCFL
ATMIN (FI) ZEB1
ATMIN (FI) CTCF
STAU2 (FI) YBX2
IRGM (FI) STAT1
BST1 (FI) CCKAR
BST1 (FI) PRKG2
BST1 (FI) PRKG1
BST1 (FI) GPLD1
CREBL2 (FI) TEF
CREBL2 (FI) DBP
GLYCTK (FI) PKN3
GLYCTK (FI) SRPK3
GLYCTK (FI) RPS6KC1
NAA11 (FI) NAA16
NAA11 (FI) NAA15
NAA11 (FI) NAA50
TCF15 (FI) TCF3
KCNE3 (FI) KCNJ5
KCNE3 (FI) KCNE4
KCNE3 (FI) SLC12A2
USP11 (FI) USP4
USP11 (FI) USP5
USP11 (FI) USP7
USP11 (FI) USP42
USP11 (FI) USP51
USP11 (FI) USP15
USP11 (FI) USP13
USP11 (FI) USP12
USP11 (FI) USP25
USP11 (FI) USP28
USP11 (FI) USP37
USP11 (FI) USP36
CARD18 (FI) CASP1
CHRNA9 (FI) SLURP1
GPAA1 (FI) PLAUR
GPAA1 (FI) PIGK
GPAA1 (FI) PIGU
GPAA1 (FI) PIGT
GPAA1 (FI) PIGS
RLN1 (FI) RLN2
RLN1 (FI) RXFP3
RLN1 (FI) RXFP2
RLN1 (FI) RXFP1
RLN1 (FI) RXFP4
LRRC4 (FI) NTNG1
LRRC4 (FI) NTNG2
LRRC4 (FI) LRRC4C
PTMS (FI) SRF
GPATCH3 (FI) YY1
ABCA6 (FI) ABCC10
ABCA6 (FI) ABCC12
ABCA6 (FI) ABCA9
ABCA6 (FI) ABCA8
ANKS4B (FI) USH1C
ANKS4B (FI) HNF4A
IGSF8 (FI) PURA
IGSF8 (FI) ITGA4
IGSF8 (FI) ITGB1
FLVCR1 (FI) TAL1
FRMD4A (FI) FRMD4B
PRKY (FI) RPS6KA4
MDN1 (FI) WDR12
MDN1 (FI) NLE1
ZNF35 (FI) ZNF766
ZNF35 (FI) ZNF486
ZNF35 (FI) ZNF37A
ABCG5 (FI) ABCG8
ABCG1 (FI) ABCG5
ABCG1 (FI) ABCG4
RTN4RL1 (FI) RTN4RL2
CNFN (FI) LCE5A
RNASEH2B (FI) RNASEH2C
RALGAPA1 (FI) SIPA1L3
RALGAPA1 (FI) RALGAPB
PIGR (FI) USF1
PIGR (FI) USF2
PIGR (FI) RELB
PIGR (FI) RELA
GNPAT (FI) PEX2
GNPAT (FI) PEX5
GNPAT (FI) PEX12
GNPAT (FI) PEX10
GNPAT (FI) PEX14
GNPAT (FI) PEX13
PRRG1 (FI) RARB
ARSA (FI) SUMF2
ARSA (FI) SUMF1
STMN2 (FI) STMN3
PCDH18 (FI) PCDHGB1
PCDH18 (FI) PCDHB15
KLK2 (FI) MMP8
CDK5RAP3 (FI) DDRGK1
KLK1 (FI) KLKB1
KRIT1 (FI) RAP1A
KRIT1 (FI) RAP1B
ICAM5 (FI) ITGAL
ICAM5 (FI) ITGB2
CYB5RL (FI) HBA1
CYB5RL (FI) HBB
LSG1 (FI) NXF1
LSG1 (FI) NMD3
MOGAT1 (FI) MOGAT3
MOGAT1 (FI) MOGAT2
RNF138 (FI) UBE2M
RNF138 (FI) RNF7
DTX2 (FI) DTX3
DTX2 (FI) NOTCH4
DTX2 (FI) NOTCH3
DTX2 (FI) NOTCH2
DTX2 (FI) NOTCH1
GNPNAT1 (FI) UAP1
ATP10B (FI) ATP10D
ATP10B (FI) ATP11B
ATP10B (FI) ATP8B2
ATP10B (FI) ATP8B4
ATP10B (FI) ATP9B
ATP10B (FI) ATP9A
TPTE (FI) TPTE2
OSTF1 (FI) SRC
FOXI3 (FI) FOXK2
FOXI3 (FI) HOXB7
FOXI3 (FI) HOXA6
FOXI3 (FI) HOXC5
SLC30A5 (FI) SLC39A7
SLC30A5 (FI) SLC30A6
UROD (FI) UROS
MGLL (FI) NFKB1
OTUD6A (FI) OTUD7A
RHBDL1 (FI) RHBDL3
RHBDL1 (FI) RHBDL2
NPHP3 (FI) UNC119B
CALM1 (FI) CALM2
CALM1 (FI) CALM3
CALM1 (FI) PPP3CA
BOLA2 (FI) GLRX3
NSUN5P1 (FI) NSUN5P2
RMND5B (FI) WDR26
RMND5A (FI) WDR26
MCAT (FI) OXSM
MCAT (FI) NDUFAB1
CRHBP (FI) ESR1
CRHBP (FI) ESR2
AOC3 (FI) CEBPB
RARS2 (FI) YARS2
RARS2 (FI) TUFM
MLYCD (FI) PRKAG1
MLYCD (FI) PRKAG2
MLYCD (FI) PRKAG3
MLYCD (FI) PRKAB1
MLYCD (FI) PRKAB2
MLYCD (FI) PRKAA1
MLYCD (FI) PRKAA2
MLYCD (FI) PEX2
MLYCD (FI) PEX5
MLYCD (FI) PEX13
MLYCD (FI) PEX12
MLYCD (FI) PEX10
MLYCD (FI) PEX14
DDX60L (FI) STAT2
DDX60L (FI) STAT1
SPATA5 (FI) SPATA5L1
ACSS1 (FI) ACSS2
ACSS1 (FI) SIRT3
GAS2 (FI) RAD21
CA9 (FI) ELK1
CA9 (FI) EPAS1
CA9 (FI) SP3
CA9 (FI) HIF1A
CA9 (FI) CTNNB1
CA9 (FI) TFAP2A
PIGL (FI) PIGW
RAET1E (FI) TNFSF9
RAET1E (FI) RAET1G
RAET1E (FI) RAET1L
RAET1E (FI) ULBP3
RAET1E (FI) ULBP2
RAET1E (FI) ULBP1
HAPLN1 (FI) VCAN
PAAF1 (FI) PSMD11
HECTD3 (FI) UBE2C
LIPA (FI) PPARA
LIPA (FI) PPARG
LIPA (FI) PPARD
SLC4A5 (FI) SLC4A9
CAPNS2 (FI) CDK5R1
CAPNS2 (FI) CAST
CAPNS2 (FI) HTT
RAB40AL (FI) RAB40B
RAB40AL (FI) RAB40C
